Size Category,Est. Enrollment,University,# Contacts,Contact Names,Contact Emails
"Mega (50,000+)",74000,Texas A&M University–Victoria,6,"College of Business | Department of Accounting, Finance & Economics | Office of the Provost | Career Services | Student Life",cob@tamuv.edu | afee@tamuv.edu | provost@tamuv.edu | careerservices@tamuv.edu | studentlife@tamuv.edu
"Mega (50,000+)",70000,Arizona State University,4,Dr. Mark Stapp | Dr. Stephen Roulac | W. P. Carey Career Services | Employer Relations (ASU Career Services),mark.stapp@asu.edu | stephen.roulac@asu.edu | wpcareycareers@asu.edu | employerrelations@asu.edu
"Mega (50,000+)",70000,Arizona State University – Lake Havasu,8,ASU Lake Havasu Administration | Department of Economics | Department of Management | Experiential Learning | Student Engagement,lakehavasu@asu.edu | economics@asu.edu | management@asu.edu | experientiallearning@asu.edu | studentengagement@asu.edu
"Mega (50,000+)",68000,University of Central Florida,17,"Ajai Singh, Ph.D. | David M. Harrison, Ph.D. | Department of Finance & Dr. P. Phillips School of Real Estate | UCF Real Estate Society (official RSO via OSI) | Christopher Thompson",Ajai.Singh@ucf.edu | David.Harrison2@ucf.edu | business@ucf.edu | osi@ucf.edu | christopher.thompson@ucf.edu
"Mega (50,000+)",68000,University of Central Florida – Online,5,UCF Online | College of Business Administration | Dr. Paul Jarley | Career Services | Undergraduate Admissions,ucfonline@ucf.edu | cba@ucf.edu | paul.jarley@ucf.edu | career@ucf.edu | admission@ucf.edu
"Mega (50,000+)",68000,Rutgers University–Newark,6,Rutgers Business School – Newark Undergraduate Program | Department of Economics | Rutgers Business School Dean’s Office | Office of Career Resources & Exploration | Office of Student Life & Leadership,undergrad@business.rutgers.edu | econ@newark.rutgers.edu | dean@business.rutgers.edu | careers@newark.rutgers.edu | osll@newark.rutgers.edu
"Mega (50,000+)",61000,The Ohio State University,9,Itzhak (Zahi) Ben-David | Anil Shivdasani | Timothy J. Riddiough | Allyson M. Irwin | Ohio State Center for Real Estate,ben-david.1@osu.edu | shivdasani.1@osu.edu | riddiough.1@osu.edu | irwin.336@osu.edu | realestate@osu.edu
"Mega (50,000+)",60000,University of Phoenix,6,College of Business | Career Services | Employer Partnerships | Corporate Partnerships | Office of Student Services,business@phoenix.edu | careerservices@phoenix.edu | employerpartnerships@phoenix.edu | corporatepartnerships@phoenix.edu | students@phoenix.edu
"Mega (50,000+)",56000,University of Illinois Urbana-Champaign,8,Rho Epsilon Student Real Estate Association | Andrew Kalotay | Plamen Ivanov | Hoeft Center for Real Estate | Gies Business Career Services,rhoepsilonuiuc@gmail.com | akalotay@illinois.edu | pivanov@illinois.edu | hoeftcre@illinois.edu | giescareers@illinois.edu
"Mega (50,000+)",56000,University of Florida,9,Undergraduate Real Estate Society (student org) – official routing | Bergstrom Real Estate Center – General Office | Trevor Schneider | Jaime “Ja’Net” Glover | Career Connections Center – General,UFCareerCenter@ufsa.ufl.edu | ore@mail.ufl.edu | ore@mail.ufl.edu | janet.glover@ufl.edu | UFCareerCenter@ufsa.ufl.edu
"Mega (50,000+)",56000,University of Florida – Online,5,Warrington College of Business | Dr. Saby Mitra | UF Online | Career Connections Center | Admissions Office,info@warrington.ufl.edu | saby.mitra@warrington.ufl.edu | ufonline@ufl.edu | careercenter@ufl.edu | admissions@ufl.edu
"Mega (50,000+)",55000,Florida International University,3,Jerome Bain Real Estate Institute Office | Luis Soto | Student Involvement & Leadership Office,cobquestions@fiu.edu | lusoto@fiu.edu | studentaffairs@fiu.edu
"Mega (50,000+)",55000,National University,8,"Brian Mitchell, PhD | College of Business Office | Finance & Economics Program Office | Career Services | Employer Relations Team",bmitchell@nu.edu | business@nu.edu | finance@nu.edu | careerservices@nu.edu | employerrelations@nu.edu
"Mega (50,000+)",52000,Georgia State University,6,Mocha Trimier | Student Organizations Office | Dean of Students Office | Undergraduate Admissions | Office of Financial Aid,mtrimier@gsu.edu | studentorganizations@gsu.edu | deanofstudents@gsu.edu | undergrad@gsu.edu | finaid@gsu.edu
"Mega (50,000+)",52000,University of Minnesota (Twin Cities),10,"University of Minnesota Commercial Real Estate Club (CREC) | Planning, Space & Real Estate Office (PSRE) | Carlson Business Career Center – Employer Relations | Career Services Administration – General | Handshake Contact (Employer Tools)",student.groups@sua.umn.edu | psre@umn.edu | gbccinfo@umn.edu | career@umn.edu | handshake@umn.edu
"Mega (50,000+)",52000,Middle Georgia State University,4,Scott Bass | Office of Student Life | Experiential Learning | Office of Admissions,scott.bass@mga.edu | studentlife@mga.edu | experientiallearning@mga.edu | admissions@mga.edu
"Mega (50,000+)",52000,St. Mary’s University of Minnesota,7,School of Business & Technology – Dean’s Office | Department of Business & Economics | Office of Student Engagement | Career Services | Employer Relations,sbt@smumn.edu | business@smumn.edu | studentengagement@smumn.edu | careers@smumn.edu | employerrelations@smumn.edu
"Mega (50,000+)",51000,University of Texas at Austin,5,Urban Information Lab | LBJ School Urban & Regional Planning | Student Organizations Office | Experiential Learning & Internships | Office of the Dean of Students,uil@austin.utexas.edu | urp@austin.utexas.edu | studentorgs@austin.utexas.edu | el@austin.utexas.edu | deanofstudents@austin.utexas.edu
"Mega (50,000+)",50000,Michigan State University,10,Department of Finance – Real Estate Major | Real Estate Investment Club (via Student Organizations) | Eli Broad College of Business Office | Department of Economics | Center for Real Estate & Finance,finance@broad.msu.edu | studentlife@msu.edu | broad@msu.edu | econdept@msu.edu | cref@msu.edu
"Mega (50,000+)",50000,University of South Florida,10,USF Real Estate Society | Center for Real Estate | Department of Finance – Main Office | Muma College of Business – Dean’s Office | Muma College of Business Career Services,studentorgs@usf.edu | realestate@usf.edu | finance@usf.edu | mumacollege@usf.edu | businesscareers@usf.edu
"Mega (50,000+)",50000,Purdue University – Online,7,School of Construction Management Technology | Purdue Polytechnic Institute | Office of Student Activities (club routing) | Center for Career Opportunities (CCO) | Employer Relations,cmt@purdue.edu | polytechnic@purdue.edu | activities@purdue.edu | cco@purdue.edu | recruit@purdue.edu
"Mega (50,000+)",50000,Purdue University Global,6,School of Business and Information Technology | Center for Career Advancement | Employer Partnerships | Office of Student Affairs | Office of the Provost,pgbusiness@purdueglobal.edu | careerservices@purdueglobal.edu | employerpartnerships@purdueglobal.edu | studentaffairs@purdueglobal.edu | provost@purdueglobal.edu
"Large (30,000–49,999)",47000,University of Arizona,5,Sandra Bernal Cordova | Brian Bidolli | Kristina Currans | Atticus Jaramillo | Daniel Kuhlmann,sbernal@arizona.edu | bbidolli@arizona.edu | curransk@arizona.edu | atticus@arizona.edu | dok@arizona.edu
"Large (30,000–49,999)",47000,University of Cincinnati,11,"Carl Goertemoeller | Gary Painter, PhD | Heather Johnson | Katherine Trent | UC Real Estate Association (UCREA) — Org Routing",carl.goertemoeller@uc.edu | paintegd@ucmail.uc.edu | heather.johnson@uc.edu | trentkn@ucmail.uc.edu | studentactivities@uc.edu
"Large (30,000–49,999)",47000,University of Michigan–Dearborn,10,Real Estate & Development Club (routed via College) | College of Business Dean’s Office | Department of Finance & Accounting | Economics Program Office | Urban & Regional Studies Program,umd-cob@umich.edu | umd-cob@umich.edu | umd-cob@umich.edu | economics@umich.edu | socialsciences@umich.edu
"Large (30,000–49,999)",47000,University of Michigan–Flint,10,School of Management Dean’s Office | Finance Program Office | Economics Program Office | Center for Urban Studies | Student Organizations (Routing),flint.som@umich.edu | flint.som@umich.edu | economics@umich.edu | cus@umich.edu | flint.studentlife@umich.edu
"Large (30,000–49,999)",47000,University of Southern California,9,USC Real Estate Association (USCREA) | Lusk Center for Real Estate | Marshall School of Business – Dean’s Office | Department of Finance & Business Economics | USC Marshall Career Services,campusactivities@usc.edu | lusk@usc.edu | marshall@usc.edu | finance@marshall.usc.edu | marshallcareers@usc.edu
"Large (30,000–49,999)",47000,University of Washington Bothell,12,School of Business – Main Office | Stephan Henneberg | Accounting & Finance Program Office | Business & Economics Faculty Routing | Urban Studies Program Office,uwbs@uw.edu | shennebe@uw.edu | uwbs@uw.edu | uwbs@uw.edu | uwbus@uw.edu
"Large (30,000–49,999)",47000,University of Washington Tacoma,6,Urban Studies Office | Milgard Success Center | Career Development & Education | Center for Student Involvement | Student Life Office,uwturban@uw.edu | milgard@uw.edu | tcareer@uw.edu | uwtsi@uw.edu | uwtsl@uw.edu
"Large (30,000–49,999)",47000,University of Arizona – Online,4,Eller College of Management | Dr. Karthik Kannan | Arizona Online | Admissions Office,ellerinfo@eller.arizona.edu | dean@eller.arizona.edu | online@arizona.edu | admissions@arizona.edu
"Large (30,000–49,999)",47000,University of Arizona Global Campus,3,Dr. Paul A. Smith | Student Affairs | Admissions Office,paul.smith@uagc.edu | studentaffairs@uagc.edu | admissions@uagc.edu
"Large (30,000–49,999)",47000,University of Michigan – Online,5,Stephen M. Ross School of Business | Dr. Sharon F. Matusik | Michigan Online | University Career Center | Office of Undergraduate Admissions,ross@umich.edu | smatusik@umich.edu | michiganonline@umich.edu | careercenter@umich.edu | admissions@umich.edu
"Large (30,000–49,999)",47000,University of Washington,5,Foster School of Business | Dr. Tom Lee | Career & Internship Center | Student Affairs | Admissions Office,foster@uw.edu | tflee@uw.edu | careers@uw.edu | studentaffairs@uw.edu | admissions@uw.edu
"Large (30,000–49,999)",47000,Vanguard University of Southern California,6,Dr. David B. Needle | business@vanguard.edu | Dr. Pamela Washburn | careercenter@vanguard.edu | employerrelations@vanguard.edu,david.needle@vanguard.edu | business@vanguard.edu | pamela.washburn@vanguard.edu | careercenter@vanguard.edu | employerrelations@vanguard.edu
"Large (30,000–49,999)",46000,University of Houston,10,Undergraduate Real Estate Scholars (URES) | Graduate Real Estate Club (GREC) | Steven Craig | David C. Ling | Bauer College Real Estate Program,ures@uh.edu | grec@uh.edu | srcraig@uh.edu | dcling@uh.edu | RE@uh.edu
"Large (30,000–49,999)",46000,Florida State University,12,FSU Real Estate Center | Yvonne Baker | Stephen Bailey | G. Stacy Sirmans | Daniel Broxterman,fsurealestate@business.fsu.edu | ybaker@business.fsu.edu | sbailey@business.fsu.edu | ssirmans@business.fsu.edu | dbroxterman@business.fsu.edu
"Large (30,000–49,999)",46000,Florida State University – Panama City,9,"Office of Student Affairs | College of Business – Panama City | Department of Accounting, Finance & Information Systems | College of Business Advising | Career Center – Panama City",pcstudentaffairs@fsu.edu | businesspc@fsu.edu | afis@business.fsu.edu | pcbusinessadvising@fsu.edu | pccareer@fsu.edu
"Large (30,000–49,999)",46000,"University of California, Los Angeles",9,UCLA Extension – Real Estate Programs | UCLA Extension | UCLA Luskin School of Public Affairs – Dean’s Office | Department of Urban Planning (Luskin) | Luskin Career Services,realestate@uclaextension.edu | uclaextension@ucla.edu | luskin@ucla.edu | urbanplanning@luskin.ucla.edu | careercenter@luskin.ucla.edu
"Large (30,000–49,999)",46000,University of Houston–Downtown,10,"Finance, Information Systems, Economics & Risk Management Dept – Chair | Dr. Samuel Penkar | Dr. Charles Alden Smith | Dr. Rahul Verma | Dr. Pamela Hurley",islama@uhd.edu | penkars@uhd.edu | smithc@uhd.edu | vermar@uhd.edu | hurleyp@uhd.edu
"Large (30,000–49,999)",46000,University of Houston – Online,5,C.T. Bauer College of Business | Dr. Paul A. Pavlou | UH Online | University Career Services | Graduate Admissions,bauer@uh.edu | ppavlou@uh.edu | uhonline@uh.edu | ucs@uh.edu | gradschool@uh.edu
"Large (30,000–49,999)",46000,University of Houston–Victoria,6,"College of Business | Department of Accounting, Finance & Economics | Office of the Provost | Career Development Center | Student Involvement",business@uhv.edu | afee@uhv.edu | provost@uhv.edu | careers@uhv.edu | studentlife@uhv.edu
"Large (30,000–49,999)",45000,Lincoln University of California,5,College of Business & Management Office | Business Administration Program | Career Development Office | Office of Student Affairs | Office of Academic Affairs,business@lincolnuca.edu | business@lincolnuca.edu | careers@lincolnuca.edu | studentaffairs@lincolnuca.edu | academicaffairs@lincolnuca.edu
"Large (30,000–49,999)",44000,University of North Texas,5,G. Brint Ryan College of Business – Dean’s Office | Real Estate Club (UNT) | Experiential Learning & Internships | Student Activities Center | Office of Partnerships & Outreach,cob@unt.edu | studentactivities@unt.edu | internships@unt.edu | studentactivities@unt.edu | engagement@unt.edu
"Large (30,000–49,999)",44000,University of North Texas–Dallas,6,Office of Student Engagement | Finance & Economics Academic Routing | Internships & Experiential Learning | Division of Student Affairs | Office of Community Engagement,studentengagement@untdallas.edu | business@untdallas.edu | internships@untdallas.edu | studentaffairs@untdallas.edu | communityengagement@untdallas.edu
"Large (30,000–49,999)",44000,University of North Texas–Frisco,6,UNT Frisco Campus Administration | G. Brint Ryan College of Business – Main Office | Real Estate Club (UNT) | Experiential Learning & Internships | Student Activities Center,frisco@unt.edu | cob@unt.edu | studentactivities@unt.edu | internships@unt.edu | studentactivities@unt.edu
"Large (30,000–49,999)",44000,University of Texas at Arlington,4,Student Organizations & Activities | Experiential Learning & Internships | Office of the Dean of Students | University Communications,studentorgs@uta.edu | career@uta.edu | deanofstudents@uta.edu | communications@uta.edu
"Large (30,000–49,999)",44000,University of North Texas – Denton,4,G. Brint Ryan College of Business | Dr. Michael G. Massa | Student Affairs | Admissions Office,business@unt.edu | michael.massa@unt.edu | studentaffairs@unt.edu | admissions@unt.edu
"Large (30,000–49,999)",44000,University of North Texas at Waco,4,UNT Waco Center Administration | G. Brint Ryan College of Business | Student Affairs | Admissions Office,waco@unt.edu | business@unt.edu | studentaffairs@unt.edu | admissions@unt.edu
"Large (30,000–49,999)",42000,Kennesaw State University,10,KSU Real Estate Society (via Student Organizations) | Dr. Robin Cheramie | Coles College of Business Office | Department of Finance & Quantitative Analysis | Department of Economics,studentorgs@kennesaw.edu | rcherami@kennesaw.edu | coles@kennesaw.edu | finance@kennesaw.edu | economics@kennesaw.edu
"Large (30,000–49,999)",42000,"University of California, Berkeley",9,Fisher Center for Real Estate & Urban Economics | Haas Real Estate Club | Haas School of Business – Dean’s Office | Finance Group (Haas) | Haas Career Management Group,fishercenter@haas.berkeley.edu | haasrealestate@haas.berkeley.edu | dean@haas.berkeley.edu | finance@haas.berkeley.edu | cmg@haas.berkeley.edu
"Large (30,000–49,999)",42000,Walden University,6,College of Management and Technology | Career Planning and Development | Employer Partnerships | Office of Student Affairs | Office of Academic Affairs,management@waldenu.edu | careers@mail.waldenu.edu | employerpartnerships@waldenu.edu | studentaffairs@mail.waldenu.edu | academicaffairs@mail.waldenu.edu
"Large (30,000–49,999)",41000,"University of California, San Diego",8,"Triton Real Estate Organization (student org official contact via Center for Student Involvement) | Urban Studies & Planning Program | Mirle Rabinowitz Bussell, PhD | Rady School of Management – Employer Engagement | Toni Rhorer",getinvolved@ucsd.edu | usp@ucsd.edu | mbussell@ucsd.edu | employers@rady.ucsd.edu | trhorer@ucsd.edu
"Large (30,000–49,999)",41000,Utah Valley University,6,Dr. Curtis Morley | Dr. David Connelly | wsb@uvu.edu | careers@uvu.edu | employerrelations@uvu.edu,curtis.morley@uvu.edu | david.connelly@uvu.edu | wsb@uvu.edu | careers@uvu.edu | employerrelations@uvu.edu
"Large (30,000–49,999)",40000,"California State University, Fullerton",16,"Lily Shen, PhD | Gordon C. “Gordy” Phillips, PhD | Norm Miller, PhD | Steven J. Smith, PhD | Seow Eng Ong, PhD",lshen@fullerton.edu | gphillips@fullerton.edu | nmiller@fullerton.edu | sjsmith@fullerton.edu | song@fullerton.edu
"Large (30,000–49,999)",40000,Texas Tech University,4,Department of Economics | Center for Campus Life | Center for Campus Life | Experiential Learning,economics@ttu.edu | campuslife@ttu.edu | campuslife@ttu.edu | experientiallearning@ttu.edu
"Large (30,000–49,999)",40000,"University of California, Davis",9,UC Davis Center for Real Estate | Graduate School of Management – Dean’s Office | Department of Economics | Graduate School of Management – Finance Area | GSM Career Management,realestate@ucdavis.edu | gsm@ucdavis.edu | econ@ucdavis.edu | gsm@ucdavis.edu | gsmcareers@ucdavis.edu
"Large (30,000–49,999)",40000,Texas Tech University – Online,3,Dr. Margaret L. Williams | eLearning & Academic Partnerships | Graduate Admissions,margaret.williams@ttu.edu | elearning@ttu.edu | graduate.admissions@ttu.edu
"Large (30,000–49,999)",40000,University of Maryland Global Campus,5,School of Business | Dr. Lawrence M. Kahn | Career Services & Internships | Student Affairs | Admissions Office,business@umgc.edu | lawrence.kahn@umgc.edu | careerservices@umgc.edu | studentaffairs@umgc.edu | admissions@umgc.edu
"Large (30,000–49,999)",39000,University of Georgia,8,"David Musto | Michael J. Schlaegel | Engagement, Leadership, and Service | Terry College Undergraduate Programs | Deede Walker",dmusto@uga.edu | schlaegel@uga.edu | engagement@uga.edu | bba@uga.edu | dwalker@uga.edu
"Large (30,000–49,999)",39000,University of Georgia – Online,3,Dr. Benjamin C. Ayers | UGA Online | Graduate School Admissions,dean@terry.uga.edu | online@uga.edu | gradadm@uga.edu
"Large (30,000–49,999)",38000,University of Colorado Boulder,9,Real Estate Club | Real Estate Club | Ryan T. Williams | Paul J. Morrow | CU Real Estate Center,reclub@colorado.edu | reclub@colorado.edu | ryan.williams@colorado.edu | paul.morrow@colorado.edu | realestate@colorado.edu
"Large (30,000–49,999)",38000,"California State University, Northridge",11,"Real Estate Association | Nazarian College of Business – Student Orgs | Dr. Deborah H. Rubin | Department of Finance, Real Estate & Insurance | Department of Business Law",studentorganizations@csun.edu | nazarian@csun.edu | deborah.rubin@csun.edu | finance@csun.edu | businesslaw@csun.edu
"Large (30,000–49,999)",38000,George Mason University,9,Center for Real Estate Entrepreneurship | School of Business Office | Department of Finance | Office of Student Involvement | University Career Services,cree@gmu.edu | sbus@gmu.edu | finance@gmu.edu | studentinvolvement@gmu.edu | careers@gmu.edu
"Large (30,000–49,999)",38000,Texas State University,4,Economics Program | Student Involvement & Engagement | Student Involvement & Engagement | Experiential Learning,economics@txstate.edu | getinvolved@txstate.edu | getinvolved@txstate.edu | experientiallearning@txstate.edu
"Large (30,000–49,999)",38000,Texas State University (McCoy),4,Economics Program | Student Involvement & Engagement | Student Involvement & Engagement | Experiential Learning,economics@txstate.edu | getinvolved@txstate.edu | getinvolved@txstate.edu | experientiallearning@txstate.edu
"Large (30,000–49,999)",38000,Virginia Tech,9,Pamplin College of Business | Department of Finance | Real Estate Club (Virginia Tech) | Student Engagement & Campus Life | Career and Professional Development,pamplin@vt.edu | finance@vt.edu | studentengagement@vt.edu | studentengagement@vt.edu | careercenter@vt.edu
"Large (30,000–49,999)",38000,Texas State University – Online,3,Dr. Sanjay Ramchander | Extended Learning | Admissions Office,dean@mccoy.txstate.edu | distancelearning@txstate.edu | admissions@txstate.edu
"Large (30,000–49,999)",37000,Louisiana State University,7,R. Kelley Pace | Brian Andrews | LSU Real Estate Research Institute | Ourso College of Business Career Services | Emily Nelson,kpace@lsu.edu | andrews@lsu.edu | kpace@lsu.edu | businesscareers@lsu.edu | emnelson@lsu.edu
"Large (30,000–49,999)",37000,"California State University, Long Beach",12,"Craig Holden, PhD | Kathy Walsh, PhD | Brian Rutherford, PhD | Ihsan Ulku, PhD | Department of Finance Office",craig.holden@csulb.edu | kathy.walsh@csulb.edu | brian.rutherford@csulb.edu | ihsan.ulku@csulb.edu | finance@csulb.edu
"Large (30,000–49,999)",37000,University of Alabama,10,"Culverhouse College of Business – Dean’s Office | Department of Finance | Mark Peterson, Ph.D. | Randall Jackson, Ph.D. | Culverhouse Real Estate & Land Use Program",culverhouse@ua.edu | finance@culverhouse.ua.edu | mpeterson@culverhouse.ua.edu | rjackson@culverhouse.ua.edu | realestate@culverhouse.ua.edu
"Large (30,000–49,999)",37000,Louisiana State University – Online,5,LSU Online | E. J. Ourso College of Business Office | Department of Finance | LSU Olinde Career Center | Office of Student Engagement,online@lsu.edu | business@lsu.edu | finance@lsu.edu | career@lsu.edu | studentengagement@lsu.edu
"Large (30,000–49,999)",37000,Louisiana State University Alexandria,5,Division of Business Administration | Department of Accounting & Finance | Career Center | Office of Student Engagement | Office of Academic Affairs,business@lsua.edu | accounting@lsua.edu | careercenter@lsua.edu | studentengagement@lsua.edu | academicaffairs@lsua.edu
"Large (30,000–49,999)",37000,Louisiana State University Eunice,5,Business Administration Department Office | Department of Accounting & Finance | Career Services Office | Office of Student Engagement | Office of Academic Affairs,business@lsue.edu | accounting@lsue.edu | careerservices@lsue.edu | studentengagement@lsue.edu | academicaffairs@lsue.edu
"Large (30,000–49,999)",37000,Louisiana State University Shreveport,5,College of Business Office | Department of Accounting & Finance | Career Services | Office of Student Affairs | Office of Academic Affairs,business@lsus.edu | accounting@lsus.edu | careerservices@lsus.edu | studentaffairs@lsus.edu | academicaffairs@lsus.edu
"Large (30,000–49,999)",37000,University of Alabama – Online,5,Culverhouse College of Business | Dr. Kay M. Palan | UA Online | Career Center | Graduate School Admissions,culverhouse@ua.edu | kmpalan@ua.edu | online@ua.edu | careercenter@ua.edu | gradschool@ua.edu
"Large (30,000–49,999)",36000,Boston University,12,BU Real Estate Club | Questrom Student Activities | Dr. Andrey Pavlov | Dr. Eva Steiner | BU Real Estate Initiative,saoadmin@bu.edu | questromclubs@bu.edu | apavlov@bu.edu | esteiner@bu.edu | realestate@bu.edu
"Large (30,000–49,999)",36000,San Diego State University,10,Corky McMillin Center for Real Estate | Ming-Hsiang Chen | Fowler College of Business | Finance Department | Student Life & Leadership,realestate@sdsu.edu | mhchen@sdsu.edu | fowler@sdsu.edu | finance@sdsu.edu | sll@sdsu.edu
"Large (30,000–49,999)",36000,Capella University,7,School of Business & Technology Office | Academic Affairs Office | FlexPath Business Programs | Career Services | Employer Partnerships,business@capella.edu | academicaffairs@capella.edu | flexpath@capella.edu | careerservices@capella.edu | employerrelations@capella.edu
"Large (30,000–49,999)",35000,Ohio University,8,"James Kaufman | William Quinn | Renee McGlamery | Travis Davidson | Center for Advising, Career & Experiential Learning",kaufmanj@ohio.edu | quinnw@ohio.edu | mcglamr1@ohio.edu | davidsot@ohio.edu | ace@ohio.edu
"Large (30,000–49,999)",35000,Temple University,7,"Tina Nguyen | David J. Wilk | Oleg Rytchkov, Ph.D. | Timothy Galbraith  | Temple University Career Center – Employer Partnerships",tina.nguyen11@temple.edu | david.wilk@temple.edu | rytchkov@temple.edu | realestateinstitute@temple.edu | recruit@temple.edu
"Large (30,000–49,999)",35000,"University of California, Irvine",9,Paul Merage School of Business – Dean’s Office | UCI Center for Real Estate | Department of Finance | UCI Real Estate Association (REA) | Merage Career Center,merage@uci.edu | realestate@uci.edu | finance@merage.uci.edu | rea@uci.edu | meragecareers@uci.edu
"Large (30,000–49,999)",35000,University of South Carolina,10,Center for Real Estate | Darla Moore School of Business – Dean’s Office | Department of Finance – Main Office | Real Estate Society (USC) | Moore School Career Management,realestate@sc.edu | moore@sc.edu | finance@moore.sc.edu | lead@sc.edu | moorecareers@sc.edu
"Large (30,000–49,999)",35000,University of South Carolina Upstate,10,Office of Student Involvement | Johnson College of Business & Economics – Main Office | Johnson College of Business & Economics – Dean’s Office | Department of Economics & Finance | Real Estate / Finance Student Org (if active),getinvolved@uscupstate.edu | business@uscupstate.edu | business@uscupstate.edu | econfinance@uscupstate.edu | getinvolved@uscupstate.edu
